"ì œëª©","ì‹œì‘ ë‚ ì§œ","ì‹œì‘ ì‹œê°„","ë ë‚ ì§œ","ë ì‹œê°„","í•˜ë£¨ ì¢…ì¼","ë¯¸ë¦¬ ì•Œë¦¼ ì„¤ì •/í•´ì œ","ë¯¸ë¦¬ ì•Œë¦¼ ë‚ ì§œ","ë¯¸ë¦¬ ì•Œë¦¼ ì‹œê°„","ëª¨ì„ ì´ëŒì´","í•„ìˆ˜ ì°¸ì„ì","ì„ íƒ ì°¸ì„ì","ëª¨ì„ ë¦¬ì†ŒìŠ¤","ê±°ë¦¬","ë²”ì£¼ í•­ëª©","ë¹„ìš© ì •ë³´","ì„¤ëª…","ìˆ¨ê¹€","ì‹œê°„ ìƒíƒœ ë³´ê¸°","ìš°ì„  ìˆœìœ„","ìš°í¸ë¬¼ ì¢…ë¥˜","ì¥ì†Œ"
"[ëƒ‰ë°©ê¸° ì •ë°€ ì ê²€]","2023-5-22","¿ÀÀü 9:00:00","2023-5-24","¿ÀÈÄ 5:00:00","False","True","2023-5-22","¿ÀÀü 8:45:00","PUS1 Ops Calendar",,,,,,,"ëƒ‰ë°©ê¸° ì •ë°€ì ê²€ 
5/22~5/24
","False","2","ì¤‘ê°„","ë³´í†µ",""
"1F CRAC input power diversification work","2023-5-17","¿ÀÈÄ 1:00:00","2023-5-17","¿ÀÈÄ 3:00:00","False","True","2023-5-17","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	1F CRAC input power diversification work	Procedure No.	PUS1-MOP-xxx	Risk Level:	Level 2	Frequency	NA	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	1F-CRAC-01, 1F-CRAC-04
(Sejong Area)	Power source/ Breaker isolated	CRAC Configuration 
&#8220;2N&#8221;	 
Description of Work 
This is a work to solve the problem of the single power supply (LV3-3) of the input power to the 1st floor CRAC.
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"Relocation of 1F monitoring panel for 1F equipment","2023-5-15","¿ÀÀü 9:00:00","2023-5-18","¿ÀÈÄ 6:00:00","False","True","2023-5-15","¿ÀÀü 8:45:00","PUS1 Ops Calendar",,,,,,," 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"ISMS by TTA","2023-4-26","¿ÀÀü 10:00:00","2023-4-26","¿ÀÈÄ 5:00:00","False","True","2023-4-26","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"ISMS by TTA","2023-4-25","¿ÀÀü 10:00:00","2023-4-25","¿ÀÈÄ 5:00:00","False","True","2023-4-25","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
","False","2","ì¤‘ê°„","ë³´í†µ","1ì¸µ ë¯¸íŒ…ë£¸"
"PUS1 PUE improvement","2023-4-19","¿ÀÈÄ 3:00:00","2023-4-19","¿ÀÈÄ 3:30:00","False","True","2023-4-19","¿ÀÈÄ 2:45:00","PUS1 Ops Calendar","BongYong Han;SooChang Park;Younghoon Choi",,,,,," 
________________________________________________________________________________ 
Microsoft Teams meeting 
Join on your computer, mobile app or room device 
Click here to join the meeting 
Meeting ID: 426 175 222 105 
Passcode: WbTLQx 
Download Teams | Join on the web
Learn More | Meeting options 
________________________________________________________________________________ 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"seongwoo - PTO","2023-3-31","¿ÀÀü 12:00:00","2023-4-1","¿ÀÀü 12:00:00","True","False","2023-3-30","¿ÀÀü 6:00:00","PUS1 Ops Calendar",,,,,,," 
","False","3","ì¤‘ê°„","ë³´í†µ",""
"Dinner with TP","2023-3-22","¿ÀÈÄ 6:00:00","2023-3-22","¿ÀÈÄ 8:00:00","False","True","2023-3-22","¿ÀÈÄ 5:45:00","PUS1 Ops Calendar",,,,,,," 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"FY2023 Performance Targets discussion (PUS1)","2023-3-22","¿ÀÈÄ 3:00:00","2023-3-22","¿ÀÈÄ 4:00:00","False","True","2023-3-22","¿ÀÈÄ 2:45:00","PUS1 Ops Calendar","Thiam Poh Goh;Peter Ham;SooChang Park;BongYong Han",,"PUS1 Meeting Room",,,,"FY2023 Performance Targets discussion (PUS1)
 
________________________________________________________________________________ 
Microsoft Teams meeting 
Join on your computer, mobile app or room device 
Click here to join the meeting 
Meeting ID: 494 609 721 825 
Passcode: rVmdmv 
Download Teams | Join on the web
Learn More | Meeting options 
________________________________________________________________________________ 
 
","False","2","ì¤‘ê°„","ë³´í†µ","Microsoft Teams Meeting; PUS1 Meeting Room"
"ì‚¬ë¬´ì—˜ ë°©ë¬¸","2023-4-5","¿ÀÀü 12:00:00","2023-4-6","¿ÀÀü 12:00:00","True","True","2023-4-4","¿ÀÀü 6:00:00","PUS1 Ops Calendar",,,,,,,"ì‚¬ë¬´ì—˜ ë°©ë¬¸
","False","3","ì¤‘ê°„","ë³´í†µ","SEL1"
"TP Visit PUS1","2023-3-22","¿ÀÀü 12:00:00","2023-3-23","¿ÀÀü 12:00:00","True","True","2023-3-21","¿ÀÀü 6:00:00",,,,,,,,,"False","3","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Thermal Image measurement work","2023-3-16","¿ÀÈÄ 1:00:00","2023-3-16","¿ÀÈÄ 5:00:00","False","True","2023-3-16","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Thermal Image measurement work 	Procedure No. 	PUS1-MOP-003 	Risk Level: 	Level 3 	Frequency 	BI-ANNUAL 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	Power Single Configuration 	 
Description of Work  
This is a thermal imaging measurement to detect in advance whether the power facilities (HV, TR, LV) are operating within the normal temperature range, heat caused by specific parts within the facility, defective bus duct joints, and electrical cable wiring defects. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Thermal Image measurement work","2023-9-21","¿ÀÈÄ 1:00:00","2023-9-21","¿ÀÈÄ 5:00:00","False","True","2023-9-21","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 Thermal Image measurement work 	Procedure No. 	PUS1-MOP-003 	Risk Level: 	Level 3 	Frequency 	BI-ANNUAL 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	N/A 	Power source/ Breaker isolated 	Power Single Configuration 	 
Description of Work  
This is a thermal imaging measurement to detect in advance whether the power facilities (HV, TR, LV) are operating within the normal temperature range, heat caused by specific parts within the facility, defective bus duct joints, and electrical cable wiring defects. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][NORMAL] Cooling tower & CHWP Inspection","2023-3-23","¿ÀÈÄ 1:00:00","2023-3-25","¿ÀÈÄ 5:00:00","False","True","2023-3-23","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Inspection of cooling tower &amp; CWP	Procedure No.	MOP-PUS1-013	Risk Level:	2	Frequency	Quarterly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	 	Power source/ Breaker isolated	N/A	 
Description of Work 
This MOP stipulates quarterly preventive maintenance activity procedures for cooling tower and circulation water pumps in PUS1.
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][NORMAL] Cooling tower & CHWP Inspection","2023-6-22","¿ÀÈÄ 1:00:00","2023-6-24","¿ÀÈÄ 5:00:00","False","True","2023-6-22","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Inspection of cooling tower &amp; CWP	Procedure No.	MOP-PUS1-013	Risk Level:	2	Frequency	Quarterly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	 	Power source/ Breaker isolated	N/A	 
Description of Work 
This MOP stipulates quarterly preventive maintenance activity procedures for cooling tower and circulation water pumps in PUS1.
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][NORMAL] Cooling tower & CHWP Inspection","2023-9-28","¿ÀÈÄ 1:00:00","2023-9-30","¿ÀÈÄ 5:00:00","False","True","2023-9-28","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Inspection of cooling tower &amp; CWP	Procedure No.	MOP-PUS1-013	Risk Level:	2	Frequency	Quarterly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	 	Power source/ Breaker isolated	N/A	 
Description of Work 
This MOP stipulates quarterly preventive maintenance activity procedures for cooling tower and circulation water pumps in PUS1.
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][NORMAL] Cooling tower & CHWP Inspection","2023-12-28","¿ÀÈÄ 1:00:00","2023-12-30","¿ÀÈÄ 5:00:00","False","True","2023-12-28","¿ÀÈÄ 12:45:00","PUS1 Ops Calendar",,,,,,,"Title:	Inspection of cooling tower &amp; CWP	Procedure No.	MOP-PUS1-013	Risk Level:	2	Frequency	Quarterly	Owner:	PUS1, Facility operations	Revision:	Rev 0.1	Equipment Affected:	 	Power source/ Breaker isolated	N/A	 
Description of Work 
This MOP stipulates quarterly preventive maintenance activity procedures for cooling tower and circulation water pumps in PUS1.
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"soochang - PTO","2023-2-27","¿ÀÀü 12:00:00","2023-3-4","¿ÀÀü 12:00:00","True","True","2023-2-26","¿ÀÀü 6:00:00","PUS1 Ops Calendar",,,,,,," 
","False","3","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Maintenance of UPS","2023-2-20","¿ÀÀü 9:00:00","2023-2-20","¿ÀÈÄ 5:00:00","False","True","2023-2-20","¿ÀÀü 8:45:00","PUS1 Ops Calendar",,,,,,,"Title: 	PUS1 UPS Maintenance Contractor Bi-Monthly Inspection 	Procedure No. 	PUS1-MOP-001 	Risk Level: 	Level 3 	Frequency 	Bi-monthly 	Owner: 	PUS1 Facility Operations 	Revision: 	Rev 0.1 	Equipment Affected: 	BNK DR Center UPS-01, 02 
Shinbinet IDC UPS-01,02 
Pusan Center UPS-01,02 	Power source/ Breaker isolated 	UPS Configuration  
&#8220;N+1&#8221; 	 
Description of Work  
This is a regular inspection activity to determine the operation status of the UPS (input, output, battery charging function, etc.) and whether it is normal for internal important parts. 
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] Generator-01 main control pcb replacement work","2023-2-17","¿ÀÀü 10:00:00","2023-2-17","¿ÀÈÄ 12:00:00","False","True","2023-2-17","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 Generator-01 main control pcb replacement work	Procedure No.	PUS1-MOP-023	Risk Level:	Level 3	Frequency	Repair work(2023.02.17)	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Generator &#8220;N+1&#8221;	 
Description of Work 
This work is to investigate the cause and take action on the start up failure of Generator-01.
 
","False","2","ì¤‘ê°„","ë³´í†µ",""
"Jeongwon PTO","2023-2-13","¿ÀÀü 12:00:00","2023-2-14","¿ÀÀü 12:00:00","True","True","2023-2-12","¿ÀÀü 6:00:00","PUS1 Ops Calendar",,,,,,," 
","False","3","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-2-23","¿ÀÀü 10:00:00","2023-2-23","¿ÀÈÄ 5:00:00","False","True","2023-2-23","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-3-23","¿ÀÀü 10:00:00","2023-3-23","¿ÀÈÄ 5:00:00","False","True","2023-3-23","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-4-27","¿ÀÀü 10:00:00","2023-4-27","¿ÀÈÄ 5:00:00","False","True","2023-4-27","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-5-25","¿ÀÀü 10:00:00","2023-5-25","¿ÀÈÄ 5:00:00","False","True","2023-5-25","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-6-22","¿ÀÀü 10:00:00","2023-6-22","¿ÀÈÄ 5:00:00","False","True","2023-6-22","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-7-27","¿ÀÀü 10:00:00","2023-7-27","¿ÀÈÄ 5:00:00","False","True","2023-7-27","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-8-29","¿ÀÀü 10:00:00","2023-8-29","¿ÀÈÄ 5:00:00","False","False","2023-8-24","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-9-28","¿ÀÀü 10:00:00","2023-9-28","¿ÀÈÄ 5:00:00","False","True","2023-9-28","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-10-26","¿ÀÀü 10:00:00","2023-10-26","¿ÀÈÄ 5:00:00","False","True","2023-10-26","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-11-23","¿ÀÀü 10:00:00","2023-11-23","¿ÀÈÄ 5:00:00","False","True","2023-11-23","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] PDF Measuring power usage","2023-12-28","¿ÀÀü 10:00:00","2023-12-28","¿ÀÈÄ 5:00:00","False","True","2023-12-28","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,," 
Title:	PUS1 PDF Measuring power usage	Procedure No.	PUS1-MOP-002	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	N/A	Power source/ Breaker isolated	Power redundancy configuration	 
Description of Work 
This work is to check whether the branch circuit of the UPS distribution panel is actually used and whether the load is appropriate compared to the circuit breaker capacity in order to secure the customer's service stability.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-2-21","¿ÀÀü 10:00:00","2023-2-21","¿ÀÈÄ 6:00:00","False","True","2023-2-21","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-3-21","¿ÀÀü 10:00:00","2023-3-21","¿ÀÈÄ 6:00:00","False","True","2023-3-21","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-4-18","¿ÀÀü 10:00:00","2023-4-18","¿ÀÈÄ 6:00:00","False","True","2023-4-18","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-5-16","¿ÀÀü 10:00:00","2023-5-16","¿ÀÈÄ 6:00:00","False","True","2023-5-16","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
"[PUS1][Normal] UPS Power Quality Measurement","2023-6-20","¿ÀÀü 10:00:00","2023-6-20","¿ÀÈÄ 6:00:00","False","True","2023-6-20","¿ÀÀü 9:45:00","PUS1 Ops Calendar",,,,,,,"Title:	PUS1 UPS Power Quality Measurement	Procedure No.	PUS1-MOP-022	Risk Level:	Level 3	Frequency	Monthly	Owner:	PUS1 Facility Operations	Revision:	Rev 0.1	Equipment Affected:	BNK DR Center UPS-01, 02
Shinbinet IDC UPS-01, 02
Pusan Center UPS-01, 02	Power source/ Breaker isolated	UPS Configuration 
â€œN+1â€	 
Description of Work 
This check is a regular monthly check to accurately measure the UPS's power quality and load capacity.
","False","2","ì¤‘ê°„","ë³´í†µ",""
